ARS_SUBJECT,CODE_STATUS,CODE_LEVEL,ID
aircraft military communications equipment,ACTIVE,1,a9e27fae-efd8-4682-ae61-574b2726f53c
aircraft missile protection systems,ACTIVE,1,78c29486-ffab-47f7-91c6-ce0d1f59cb5a
aircraft seals,ACTIVE,1,32fea09a-2249-43b3-a9b3-7fd51f37f02b
aircraft valve seats,ACTIVE,1,8b2ea460-6f9b-469a-90e2-f918265750c7
airframe structures,ACTIVE,1,10926fc3-17dc-4b8b-abf8-6be5ed09de0b
all-wheel drive vehicles with ballistic protection,ACTIVE,1,ab57d44e-f7e1-4ab2-9883-a3790d6258fd
alpha-emitting radionuclide compounds,ACTIVE,1,da8785a2-f240-4e2f-a692-0d2ed06b67a9
alpha-emitting radionuclide mixtures,ACTIVE,1,23b6fe67-4550-42ea-9f19-54d059ec6fac
alpha-emitting radionuclides,ACTIVE,1,5d7e9ec1-d0ea-4744-b9db-b0c7e5c1f80e
americium-241,ACTIVE,1,f94e7a13-c0e4-427f-ae05-0f86cf2e43bc
americium-242m,ACTIVE,1,7d8526f4-4d7a-4639-825c-9010afe42c1b
americium-243,ACTIVE,1,d5b5a5b4-a04a-47ab-beb0-6aacf902f497
analogue-to-digital converters,ACTIVE,1,96b52917-8042-40aa-925f-41e64f409386
analogue-to-digital equipment,ACTIVE,1,18c562da-5d58-4a24-a41d-fc222b473200
analytical or materials testing,ACTIVE,1,9e9553c5-0805-4f69-a46b-8f2e3d59ef26
anchored restraining cuffs,ACTIVE,1,1b54a496-7c82-4ae3-b177-ad5ae7068129
anechoic chambers,ACTIVE,1,a05add40-531a-4afe-903d-d80aebd331c5
anthrax vaccines,ACTIVE,1,fb9bee17-ee4b-4a9b-9ef9-1e985e6a4c4e
anti-aircraft ammunition,ACTIVE,1,59791d66-45b2-4c28-aa1e-6ae3dc61466f
anti-aircraft guns,ACTIVE,1,a0d2fe2c-af47-4226-9fd4-25790ff43018
anti-armour ammunition,ACTIVE,1,85a95ad4-0ca4-401a-9cab-836fcab31427
anti-armour weapons,ACTIVE,1,88d89426-ef72-4ca0-ad30-c85090e351a5
anti-friction bearings,ACTIVE,1,a6d27fa6-2806-4074-9f2f-b9472b9691ce
anti-personnel land mines,ACTIVE,1,7bcb46d7-6fac-45aa-9505-085326f1e46f
anti-riot guns,ACTIVE,1,c1d309a5-a10a-4486-8209-ff162038cb4d
anti-riot helmets,ACTIVE,0,7b814549-aa8a-4149-8319-4f15cc4e7605
anti-riot/ballistic shields,ACTIVE,1,9b3bf802-bc34-4803-b4cb-64fb14d4087e
anti-submarine/torpedo nets,ACTIVE,1,24586e68-aa7f-4877-bbad-9342b0ba4567
anti-vehicle mines,ACTIVE,0,674a0896-9b6f-47d0-8de9-83caf6c06b43
armoured plate,ACTIVE,1,ff919866-db01-4e77-8ac9-f64d96e33bbc
aromatic polyamide-imides,ACTIVE,1,31e03769-2b80-4533-bff9-fc5a14ad8df6
aromatic polyetherimides,ACTIVE,1,958f98b5-f5b4-4610-bcc5-e2fe53dd7320
aromatic polyimide film,ACTIVE,1,dc2ca171-19e4-4792-befc-f7395efad1e6
aromatic polyimide ribbons,ACTIVE,1,51a0d5a2-b6d6-4067-bf7c-f72600dbc06f
aromatic polyimide sheets,ACTIVE,1,ab10ca00-2fef-465f-9dad-1c8e77b37dcd
aromatic polyimide tapes,ACTIVE,1,d4d77f79-b710-4724-b7fe-24c260183351
aromatic polyimides,ACTIVE,1,43dae012-4783-4bbb-ab90-43d59fedd05c
artillery,ACTIVE,1,9f3d509d-7902-4275-89ef-94ea381910a8
artillery ammunition,ACTIVE,1,61f37715-8a6d-4158-b935-d485637ee933
aspheric optical elements,ACTIVE,1,f51fbfd3-f87e-4755-9e98-4f7fa9901871
assault rifles,ACTIVE,1,0f24f461-63c5-4427-9fbb-5ba81758ca70
atomic frequency standards,ACTIVE,1,da514471-3dd6-4753-8b8a-d44978249d62
attack alerting/warning equipment,ACTIVE,1,130f8681-d07f-4794-b1a7-b81eed7436ab
automatic piloting systems for parachuted loads,ACTIVE,1,249e2082-e8a4-4ec3-bcfd-aaf9ab711a2b
avalanche control projectiles,ACTIVE,1,83154b1e-e3b1-431a-80dd-ba25b77f5b53
bacteria,ACTIVE,1,c66f4a99-92d0-4eeb-9a09-3cb51f5b56db
balancing machine equipment,ACTIVE,1,d1e503ef-45de-4a8a-9c9c-83aebb5ab8cf
balancing machines,ACTIVE,1,247d0322-19c3-4e1b-93e4-d9ab26e86507
ballistic test equipment,ACTIVE,1,c1715be2-d83b-41ff-856a-a75a08c8500e
bar fetters,ACTIVE,1,447a2ebb-eadf-4e45-8a0a-45c31c3ff428
barbiturate anaesthetic agents for injection,ACTIVE,1,d3741cf9-be3f-4761-8daf-41c3b8330b3e
bellows sealed valves,ACTIVE,1,62d9e57e-05a4-4abb-8e71-ea259b3feb1d
