N,PARENT,1,UK
N1,PARENT,2,UK
N1A,PARENT,3,UK
N1A1,ACTIVE,4,UK
N1A2,ACTIVE,4,UK
N1A3,PARENT,4,UK
N1A3a,PARENT,5,UK
N1A3a1,ACTIVE,6,UK
N1A3a2,ACTIVE,6,UK
N1A3b,ACTIVE,5,UK
N1A4,PARENT,4,UK
N1A4a,ACTIVE,5,UK
N1A4b,ACTIVE,5,UK
N1B,PARENT,3,UK
N1B1,PARENT,4,UK
N1B1a,ACTIVE,5,UK
N1B1b,ACTIVE,5,UK
N1B2,PARENT,4,UK
N1B2a,ACTIVE,5,UK
N1B2b,PARENT,5,UK
N1B2b1,ACTIVE,6,UK
N1B2b2,ACTIVE,6,UK
N1B2b3,ACTIVE,6,UK
N1B2c,PARENT,5,UK
N1B2c1,ACTIVE,6,UK
N1B2c2,ACTIVE,6,UK
N1B2c3,ACTIVE,6,UK
N1B2d,ACTIVE,5,UK
N1B3,PARENT,4,UK
N1B3a,ACTIVE,5,UK
N1B3b,PARENT,5,UK
N1B3b1,ACTIVE,6,UK
N1B3b2,ACTIVE,6,UK
N1B3b3,ACTIVE,6,UK
N1B3c,ACTIVE,5,UK
N1B3d,ACTIVE,5,UK
N1B4,PARENT,4,UK
N1B4a,ACTIVE,5,UK
N1B4b,ACTIVE,5,UK
N1B5,PARENT,4,UK
N1B5a,ACTIVE,5,UK
N1B5b,ACTIVE,5,UK
N1B6,PARENT,4,UK
N1B6a,ACTIVE,5,UK
N1B6b,ACTIVE,5,UK
N1B6c,ACTIVE,5,UK
N1B6d,ACTIVE,5,UK
N1B7,PARENT,4,UK
N1B7a,ACTIVE,5,UK
N1B7b,ACTIVE,5,UK
N1B7c,ACTIVE,5,UK
N1D,PARENT,3,UK
N1D1,ACTIVE,4,UK
N1D2,ACTIVE,4,UK
N1D3,ACTIVE,4,UK
N1E,PARENT,3,UK
N1E1,ACTIVE,4,UK
N2,PARENT,2,UK
N2A,PARENT,3,UK
N2A1,PARENT,4,UK
N2A1a,ACTIVE,5,UK
N2A1b,ACTIVE,5,UK
N2A1c,ACTIVE,5,UK
N2A2,ACTIVE,4,UK
N2A3,ACTIVE,4,UK
N2A4,ACTIVE,4,UK
N2B,PARENT,3,UK
N2B1,PARENT,4,UK
N2B1a,ACTIVE,5,UK
N2B1b,PARENT,5,UK
N2B1b1,ACTIVE,6,UK
N2B1b2,ACTIVE,6,UK
N2B2,PARENT,4,UK
N2B2a,ACTIVE,5,UK
N2B2b,PARENT,5,UK
N2B2b1,ACTIVE,6,UK
N2B2b2,ACTIVE,6,UK
N2B2b3,ACTIVE,6,UK
N2B2b4,ACTIVE,6,UK
N2C,PARENT,3,UK
N2C1,ACTIVE,4,UK
N2C10,ACTIVE,4,UK
N2C11,ACTIVE,4,UK
N2C12,ACTIVE,4,UK
N2C13,ACTIVE,4,UK
N2C14,ACTIVE,4,UK
N2C15,ACTIVE,4,UK
N2C16,PARENT,4,UK
N2C16a,ACTIVE,5,UK
N2C16b,ACTIVE,5,UK
N2C17,ACTIVE,4,UK
N2C18,ACTIVE,4,UK
N2C19,PARENT,4,UK
N2C19a,ACTIVE,5,UK
N2C19b,ACTIVE,5,UK
N2C19c,ACTIVE,5,UK
N2C19d,ACTIVE,5,UK
N2C2,ACTIVE,4,UK
N2C3,ACTIVE,4,UK
N2C4,ACTIVE,4,UK
N2C5,ACTIVE,4,UK
N2C6,ACTIVE,4,UK
N2C7,PARENT,4,UK
N2C7a,PARENT,5,UK
N2C7a1,ACTIVE,6,UK
N2C7a2,ACTIVE,6,UK
N2C7b,ACTIVE,5,UK
N2C7c,ACTIVE,5,UK
N2C8,ACTIVE,4,UK
N2C9,ACTIVE,4,UK
N2E,PARENT,3,UK
N2E1,ACTIVE,4,UK
