M10A1,ACTIVE,4,UK,Cat 2
M10A2,ACTIVE,4,UK,Cat 2
M10A3,ACTIVE,4,UK,Cat 2
M10B1,ACTIVE,4,UK,Cat 2
M10D1,ACTIVE,4,UK,Cat 2
M10E1,ACTIVE,4,UK,Cat 2
M10E2,ACTIVE,4,UK,Cat 2
M10E3,ACTIVE,4,UK,Cat 2
M11A1,ACTIVE,4,UK,Cat 2
M11A2,ACTIVE,4,UK,Cat 2
M11A3a,ACTIVE,5,UK,Cat 2
M11A3b1,ACTIVE,6,UK,Cat 2
M11A3b2,ACTIVE,6,UK,Cat 2
M11A3b3,ACTIVE,6,UK,Cat 2
M11A4,ACTIVE,4,UK,Cat 2
M11D1,ACTIVE,4,UK,Cat 2
M11D2,ACTIVE,4,UK,Cat 2
M11E1a,ACTIVE,5,UK,Cat 2
M11E1b,ACTIVE,5,UK,Cat 2
M11E1c,ACTIVE,5,UK,Cat 2
M11E2,ACTIVE,4,UK,Cat 2
M12A1,ACTIVE,4,UK,Cat 2
M12A2,ACTIVE,4,UK,Cat 2
M12A3,ACTIVE,4,UK,Cat 2
M12A4,ACTIVE,4,UK,Cat 2
M12A5a,ACTIVE,5,UK,Cat 2
M12A5b,ACTIVE,5,UK,Cat 2
M12A6,ACTIVE,4,UK,Cat 2
M12D1,ACTIVE,4,UK,Cat 2
M12D2,ACTIVE,4,UK,Cat 2
M12D3,ACTIVE,4,UK,Cat 2
M12E1,ACTIVE,4,UK,Cat 2
M13A1a,ACTIVE,5,UK,Cat 2
M13A1b,ACTIVE,5,UK,Cat 2
M13E1,ACTIVE,4,UK,Cat 2
M14A1a,ACTIVE,5,UK,Cat 2
M14A1b1,ACTIVE,6,UK,Cat 2
M14A1b2,ACTIVE,6,UK,Cat 2
M14E1,ACTIVE,4,UK,Cat 2
M15B1a,ACTIVE,5,UK,Cat 2
M15B1b,ACTIVE,5,UK,Cat 2
M15B1c,ACTIVE,5,UK,Cat 2
M15B1d,ACTIVE,5,UK,Cat 2
M15B2,ACTIVE,4,UK,Cat 2
M15B3,ACTIVE,4,UK,Cat 2
M15B4a,ACTIVE,5,UK,Cat 2
M15B4b,ACTIVE,5,UK,Cat 2
M15B5,ACTIVE,4,UK,Cat 2
M15D1,ACTIVE,4,UK,Cat 2
M15E1,ACTIVE,4,UK,Cat 2
M16A1,ACTIVE,4,UK,Cat 2
M16D1,ACTIVE,4,UK,Cat 2
M16E1,ACTIVE,4,UK,Cat 2
M17A1,ACTIVE,4,UK,Cat 2
M17B1,ACTIVE,4,UK,Cat 2
M17C1,ACTIVE,4,UK,Cat 2
M17D1,ACTIVE,4,UK,Cat 2
M17E1,ACTIVE,4,UK,Cat 2
M18A1,ACTIVE,4,UK,Cat 2
M18A2,ACTIVE,4,UK,Cat 2
