M1A1,ACTIVE,4,UK,Cat 1
M1A2,ACTIVE,4,UK,Cat 1
M1B1,ACTIVE,4,UK,Cat 1
M1D1,ACTIVE,4,UK,Cat 1
M1D2,ACTIVE,4,UK,Cat 1
M1E1,ACTIVE,4,UK,Cat 1
M2A1a,ACTIVE,5,UK,Cat 1
M2A1b1,ACTIVE,6,UK,Cat 1
M2A1b2,ACTIVE,6,UK,Cat 1
M2A1b3,ACTIVE,6,UK,Cat 1
M2A1c,ACTIVE,5,UK,Cat 1
M2A1d,ACTIVE,5,UK,Cat 1
M2A1e,ACTIVE,5,UK,Cat 1
M2A1f,ACTIVE,5,UK,Cat 1
M2B1,ACTIVE,4,UK,Cat 1
M2B2,ACTIVE,4,UK,Cat 1
M2D1,ACTIVE,4,UK,Cat 1
M2D2,ACTIVE,4,UK,Cat 1
M2D3,ACTIVE,4,UK,Cat 1
M2D4,ACTIVE,4,UK,Cat 1
M2D5,ACTIVE,4,UK,Cat 1
M2D6,ACTIVE,4,UK,Cat 1
M2E1,ACTIVE,4,UK,Cat 1
